,Country Name,Year,Bank deposits to GDP (%),Bank net interest margin (%),Bank non-performing loans to gross loans (%),Bank noninterest income to total income (%),Bank regulatory capital to risk-weighted assets (%),"Bank return on assets (%, after tax)","Bank return on assets (%, before tax)","Bank return on equity (%, after tax)","Bank return on equity (%, before tax)",Stock price volatility
81,United Kingdom,2019,,2.247656,1.079504,27.31785,21.265862,0.4466396,0.6154628,4.668747,6.43474,11.70249
82,United Kingdom,2020,,1.852144,1.2156648,27.88467,21.568759,0.2592376,0.3526097,2.769177,3.767927,21.54198
84,United States,2001,65.73482,3.830588,1.3,41.71048,12.9,1.129962,1.693953,12.67404,18.99528,22.08035
85,United States,2002,66.39241,3.945815,1.4,41.69896,13.0,1.284541,1.912576,13.82143,20.57897,22.40724
86,United States,2003,66.0372,3.71074,1.1,43.29488,13.0,1.382455,2.051275,14.87162,22.06617,24.67943
87,United States,2004,65.40208,3.506137,0.80000001,42.13948,13.2,1.294449,1.895303,13.29073,19.45998,15.37389
88,United States,2005,66.50285,3.472205,0.69999999,42.22641,12.9,1.294616,1.910496,12.72106,18.77278,11.0255
89,United States,2006,68.97102,3.211213,0.80000001,43.14507,13.0,1.27231,1.858615,12.47851,18.22884,10.44469
90,United States,2007,74.33477,3.135414,1.4,40.90421,12.8,0.8740193,1.268739,8.578088,12.45207,11.51341
91,United States,2008,78.63197,3.0996,3.0,38.13509,12.8,0.1026004,0.1191502,1.453903,1.608011,21.41668
92,United States,2009,84.44508,3.411629,5.0,40.99651,13.9,0.1637008,0.220404,1.648456,2.207224,39.57303
93,United States,2010,78.63602,3.80898,4.3877431,37.0217,14.789098,0.6613665,0.9455028,5.939484,8.483457,26.41881
94,United States,2011,80.34418,3.645342,3.7815045,36.75529,14.685203,0.8635607,1.217208,7.650318,10.77829,18.59477
95,United States,2012,81.03249,3.525067,3.3172916,38.27949,14.506615,0.9884154,1.395731,8.79296,12.41614,21.04165
96,United States,2013,81.28259,3.428011,2.4523912,38.00665,14.405015,1.049896,1.519746,9.377299,13.57195,13.91965
97,United States,2014,81.90596,3.461277,1.8507118,36.58836,14.385415,1.022445,1.473613,9.089667,13.10032,11.29103
98,United States,2015,81.38542,3.249305,1.4734265,41.58426,14.13736,1.077313,1.561052,9.556301,13.84731,12.56322
99,United States,2016,82.06911,3.287158,1.3205222,37.53942,14.191082,1.069693,1.56042,9.536191,13.91096,15.72065
100,United States,2017,82.21514,3.392058,1.1268242,37.18576,14.532987,0.9720101,1.58326,8.732811,14.22445,11.00858
101,United States,2018,80.99707,3.53039,0.91316153,36.27905,14.774719,1.385062,1.755742,12.41673,15.73977,11.12038
102,United States,2019,84.52532,3.488174,0.85525196,36.08699,14.650502,1.340052,1.697266,11.9074,15.08152,15.48678
103,United States,2020,101.2169,3.054347,1.0653691,39.85518,16.276038,0.7172607,0.8944033,6.674671,8.323121,26.74141
